trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
155,False,"{'a': 0.5, 'e': 0.45399999999999996}",30,0,-42.917533032900955,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
156,False,"{'a': 0.5, 'e': 0.4505}",20,13,13.679600122645029,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.44699999999999995}",30,0,-23.441646458989467,"{0: 25, 1: 0, 2: 4, 3: 1, 4: 0}",0
158,False,"{'a': 0.5, 'e': 0.4435}",25,4,-49.90593818335879,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 1}",1
159,False,"{'a': 0.5, 'e': 0.43999999999999995}",20,8,0.08293017159129046,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.4365}",20,0,19.65453625352838,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
161,False,"{'a': 0.5, 'e': 0.43299999999999994}",20,13,-41.95969302424299,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
162,False,"{'a': 0.5, 'e': 0.4295}",20,9,-27.380617009524435,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.42599999999999993}",20,0,-42.05444689061431,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
164,False,"{'a': 0.5, 'e': 0.4225}",20,6,-2.9161058307780836,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.41900000000000004}",35,16,-74.24046947971159,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 2}",1
166,False,"{'a': 0.5, 'e': 0.4155}",20,0,-23.32015520966283,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
167,False,"{'a': 0.5, 'e': 0.41200000000000003}",20,12,1.4661112720115992,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
